"ACCESS.NUMBER" "UUI" "IMEI" "REFNUM"
"1" "56961936979" "424" "358372065577729" NA
"2" "56995403723" "297" NA NA
"3" "56992499845" "382" "352055065001750" NA
"4" "56992242751" "1423" NA NA
"5" "56994553949" "1431" NA NA
"6" "56961909305" "1193" NA NA
"7" "56968479289" "291" NA NA
"8" "56989958457" "401" "358875050526436" NA
"9" "56953700621" "1224" NA NA
"10" "56995597678" "227" NA NA
"11" "56971353717" "391" NA NA
"12" "56992297756" "1425" NA NA
"13" "56994544258" "300" "359291055404521" NA
"14" "56992802058" "223" NA NA
"15" "56968328703" "390" NA NA
"16" "56997427502" "370" NA NA
"17" "56961499722" "1220" NA NA
"18" "56994306006" "378" NA NA
"19" "56953725128" "259" NA NA
"20" "56994492211" "383" NA NA
"21" "56999593925" "324" "352050066797951" NA
"22" "56992490894" "318" NA NA
"23" "56993461068" "335" NA NA
"24" "56983413396" "412" NA NA
"25" "56971387278" "268" NA NA
"26" "56963093364" "320" NA NA
"27" "56985020212" "315" NA NA
"28" "56993204959" "314" NA NA
"29" "56961406373" "290" NA NA
"30" "56993207653" "312" NA NA
"31" "56961936595" "335" NA NA
"32" "56994402617" "410" NA NA
"33" "56992746100" "420" NA NA
"34" "56961244659" "283" NA NA
"35" "56961244661" "283" NA NA
"36" "56961578731" "227" NA NA
"37" "56992247868" "251" "358875050605495" NA
"38" "56993491854" "1429" NA NA
"39" "56953701526" "255" NA NA
"40" "56963067504" "1399" NA NA
"41" "56998272443" "280" NA NA
"42" "56992240312" "1422" NA NA
"43" "56996817371" "351" NA NA
"44" "56993460517" "327" "013181009442180" NA
"45" "56993273625" "219" NA NA
"46" "56990384211" "222" NA NA
"47" "56996578865" "302" "352049062156469" NA
"48" "56953718194" "1216" NA NA
"49" "56953718424" "220" NA NA
"50" "56968443649" "421" NA NA
"51" "56993464188" "262" NA NA
"52" "56961687378" "386" NA NA
"53" "56987412597" "217" "358688059205393" NA
"54" "56993784728" "307" NA NA
"55" "56961946026" "325" NA NA
"56" "56992407359" "232" NA NA
"57" "56992826020" "360" NA NA
"58" "56973165295" "347" NA NA
"59" "56991653407" "407" NA NA
"60" "56961687051" "306" NA NA
"61" "56995522235" "227" NA NA
"62" "56974957716" "414" "013205002527893" NA
"63" "56989037535" "225" NA NA
"64" "56993235919" "252" NA NA
"65" "56958597838" "296" NA NA
"66" "56958597732" "1206" NA NA
"67" "56996337794" "266" NA NA
"68" "56953961459" "366" NA NA
"69" "56961919691" "279" "013040001606210" NA
"70" "56997500523" "375" "352774053628081" NA
"71" "56964963651" "1207" NA NA
"72" "56961424283" "263" NA NA
"73" "56999728341" "247" "358854051002705" NA
"74" "56953617505" "402" "100000005103006" NA
"75" "56990383343" "221" NA NA
"76" "56961245291" "1396" NA NA
"77" "56996591850" "363" NA NA
"78" "56997531493" "409" NA NA
"79" "56974990674" "389" NA NA
"80" "56985963551" "234" "355019072364988" NA
"81" "56961931668" "415" NA NA
"82" "56997410592" "397" NA NA
"83" "56997447293" "359" NA NA
"84" "56999719245" "364" NA NA
"85" "56997458958" "344" NA NA
"86" "56990159378" "256" NA NA
"87" "56974547850" "406" NA NA
"88" "56964963604" "331" "355939045245206" NA
"89" "56994584793" "264" NA NA
"90" "56971399453" NA "356334059217854" NA
"91" "56971897819" "263" NA NA
"92" "56993244321" "274" NA NA
"93" "56991625278" "404" "013434003645542" NA
"94" "56983617180" "305" NA NA
"95" "56991625410" "1219" "357736054969199" NA
"96" "56990152966" "224" NA NA
"97" "56993694916" "245" "011585009834869" NA
"98" "56993374010" "271" NA NA
"99" "56993441600" "368" "358875050621401" NA
"100" "56993207357" "273" NA NA
"101" "56985010939" "253" NA NA
"102" "56974316988" "1406" NA NA
"103" "56997011226" "318" NA NA
"104" "56994309739" "298" NA NA
"105" "56992384199" "218" "358826058269271" NA
"106" "56985056038" "353" "357736054970049" NA
"107" "56961680631" "282" "358102051593582" NA
"108" "56953971552" "1223" "358875050563595" NA
"109" "56993258885" "263" NA NA
"110" "56966374168" "263" NA NA
"111" "56961424269" NA "358102050842493" NA
"112" "56995534953" "263" NA NA
"113" "56953709945" "254" "358875050215832" NA
"114" "56992242760" "263" NA NA
"115" "56992224949" NA "358102051630152" NA
"116" "56958635968" "1222" "352015069493841" NA
"117" "56992681691" "349" "358102051631176" NA
"118" "56993490039" "319" "358875050230179" NA
"119" "56981740147" "268" NA NA
"120" "56968317785" "328" "352015069189738" NA
"121" "56952252125" "402" "352049062667531" NA
"122" "56961599648" "215" NA NA
"123" "56968776411" "422" NA NA
"124" "56974990667" "371" "358973062129602" NA
"125" "56976213160" "245" "011585009826394" NA
"126" "56961933444" "244" NA NA
"127" "56985969163" "1417" NA NA
"128" "56968397140" "292" "013442002057171" NA
"129" "56997547175" "321" NA NA
"130" "56997450853" "388" NA NA
"131" "56953705787" "376" NA NA
"132" "56990332646" "326" NA NA
"133" "56961256777" "416" NA NA
"134" "56994413774" "243" "351892055200708" NA
"135" "56961909271" "282" "357736054978471" NA
"136" "56993439289" "283" NA NA
"137" "56985026543" "374" NA NA
"138" "56995454684" "370" NA NA
"139" "56963344431" "294" NA NA
"140" "56997586662" "235" NA NA
"141" "56974790275" "1410" NA NA
"142" "56974992602" "1411" NA NA
"143" "56993207617" "417" NA NA
"144" "56993206120" "268" NA NA
"145" "56991837512" "393" NA NA
"146" "56996329512" "334" NA NA
"147" "56953714691" "299" "358875050215261" NA
"148" "56997292923" "235" NA NA
"149" "56992788956" "283" NA NA
"150" "56961254016" "286" NA NA
"151" "56992289097" "343" NA NA
"152" "56989012894" "330" NA NA
"153" "56989896685" "362" NA NA
"154" "56988596841" "342" NA NA
"155" "56990387437" "387" "358875050166142" NA
"156" "56990387019" "419" NA NA
"157" "56990393400" "288" NA NA
"158" "56990395340" "354" "358875050214975" NA
"159" "56990395933" "214" NA NA
"160" "56990396604" "1420" NA NA
"161" "56990395940" "1419" NA NA
"162" "56990395884" "293" NA NA
"163" "56994566808" "304" NA NA
"164" "56997313622" "393" NA NA
