"TYPE" "MODEL" "REFNUM" "IMEI" "STATUS"
"1" "Impresora" "C748" "5026359423WP8" NA "Activo"
"2" "Impresora" "MS810" "4063369905T8N" NA "Activo"
"3" "Impresora" "MX611dhe" "701645HH047ZZ" NA "Activo"
"4" "Impresora" "MX611dhe" "701645HH0484G" NA "Activo"
"5" "Impresora" "C748" "5026359423WP9" NA "Activo"
"6" "Impresora" "MX611dhe" "701645HH0485P" NA "Activo"
"7" "Impresora" "MS810" "4063369905TFX" NA "Activo"
"8" "Impresora" "MX611dhe" "701644HH03X76" NA "Activo"
"9" "Impresora" "MS610de" "451445HH1V3FR" NA "Activo"
"10" "Impresora" "MS610de" "451445HH1V3D7" NA "Activo"
"11" "Impresora" "MS610de" "451445HH1V3FZ" NA "Activo"
"12" "Impresora" "MX611dhe" "701645HH0481L" NA "Activo"
"13" "Impresora" "MX611dhe" "701645HH048G5" NA "Activo"
"14" "Impresora" "MX611dhe" "701645HH048G3" NA "Activo"
"15" "Impresora" "C748" "5026359423WM8" NA "Activo"
"16" "Impresora" "MX611dhe" "701644HH03X7B" NA "Activo"
"17" "Impresora" "MS610de" "451445HH1V3FY" NA "Activo"
"18" "Impresora" "C748" "5026359423WPW" NA "Activo"
"19" "Impresora" "MS810" "4063369905T81" NA "Activo"
"20" "Impresora" "MX611dhe" "701645HH04869" NA "Activo"
"21" "Impresora" "MX611dhe" "701644HH03X87" NA "Activo"
"22" "Impresora" "MS610de" "451445HH1V2RK" NA "Activo"
"23" "Impresora" "C748" "5026359423WKY" NA "Activo"
"24" "Impresora" "MX611dhe" "701645HH047ZV" NA "Activo"
"25" "Impresora" "MX611dhe" "701645HH047YV" NA "Activo"
"26" "Impresora" "MX611dhe" "701645HH047TR" NA "Activo"
"27" "Impresora" "MX611dhe" "701645HH047ZK" NA "Activo"
"28" "Impresora" "MS810" "4063369905TCP" NA "Activo"
"29" "Impresora" "MS610de" "451445HH1V3BL" NA "Activo"
"30" "Impresora" "C748" "5026359423WKC" NA "Activo"
"31" "Impresora" "MX611dhe" "701645HH047ZM" NA "Activo"
"32" "Impresora" "MX611dhe" "701645HH047ZT" NA "Activo"
"33" "Impresora" "MX611dhe" "701644HH03X6H" NA "Activo"
"34" "Impresora" "MS810" "4063369905TDW" NA "Activo"
"35" "Impresora" "MX611dhe" "701645HH047TM" NA "Activo"
"36" "Impresora" "MS610de" "451445HH1V3D3" NA "Activo"
"37" "Impresora" "MS810" "4063369905TFM" NA "Activo"
"38" "Impresora" "MX611dhe" "701645HH047ZW" NA "Activo"
"39" "Impresora" "MS610de" "451445HH1V3FD" NA "Activo"
"40" "Impresora" "MS810" "4063369905T9V" NA "Activo"
"41" "Impresora" "MS810" "4063369905NB5" NA "Activo"
"42" "Impresora" "MS610de" "451445HH1V3FF" NA "Activo"
"43" "Impresora" "MS610de" "451445HH1V3FX" NA "Activo"
"44" "Impresora" "MX611dhe" "701644HH03X9R" NA "Activo"
"45" "Impresora" "MS610de" "451445HH1V3F8" NA "Activo"
"46" "Impresora" "MS610de" "451445HH1V3F0" NA "Activo"
"47" "Impresora" "MX611dhe" "701645HH04877" NA "Activo"
"48" "Smartphone" "PORTATIL 2630" NA "011585009826394" "Activo"
"49" "Smartphone" "PORTATIL 2630" NA "011585009834869" "Activo"
"50" "Smartphone" "2330" NA "012169001672384" "Descartado"
"51" "Smartphone" "2330" NA "012354005059503" "Descartado"
"52" "Smartphone" "C2-02 NEGRO" NA "012630004779161" "Descartado"
"53" "Smartphone" "IPHONE 4 16GB NEGRO 3G" NA "012744003680666" "Descartado"
"54" "Smartphone" "IPHONE 4 16GB NEGRO 3G" NA "012755000457882" "Activo"
"55" "Smartphone" "IPHONE4S 16GB NEGRO 3G" NA "013040001606210" "Activo"
"56" "Smartphone" "IPHONE4S 16GB NEGRO 3G" NA "013068004955003" "Descartado"
"57" "Smartphone" "IPHONE4S 16GB NEGRO 3G" NA "013181008712757" "Descartado"
"58" "Smartphone" "IPHONE 4S 16GB NEGRO 3G SERVICE UNIT" NA "013181009442180" "Activo"
"59" "Smartphone" "IPHONE 4S 16GB NEGRO 3G" NA "013194004318990" "Descartado"
"60" "Smartphone" "IPHONE 4S 16GB NEGRO 3G" NA "013195003557322" "Descartado"
"61" "Smartphone" "IPHONE 4S 16GB NEGRO 3G" NA "013198004245327" "Descartado"
"62" "Smartphone" "IPHONE 4S 16GB NEGRO 3G" NA "013202002519426" "Descartado"
"63" "Smartphone" "IPHONE 4S 16GB NEGRO 3G" NA "013205002527893" "Activo"
"64" "Smartphone" "IPHONE 5 16GB NEGRO" NA "013434003645542" "Activo"
"65" "Smartphone" "IPHONE 5 16GB NEGRO" NA "013434004030785" "Descartado"
"66" "Smartphone" "IPHONE 5 16GB NEGRO" NA "013434004471138" "Descartado"
"67" "Smartphone" "IPHONE 5 16GB NEGRO" NA "013439000497680" "Descartado"
"68" "Smartphone" "IPHONE 5 16GB NEGRO" NA "013442002057171" "Activo"
"69" "Smartphone" "IPHONE 5 16GB NEGRO" NA "013442003158234" "Descartado"
"70" "Smartphone" "IPHONE 4 8GB NEGRO 3G" NA "013661001684129" "Descartado"
