"Paises" "Zona" "Minuto.Saliente" "Minuto.Entrante" "Segundo.Saliente" "Segundo.Entrante" "MB" "KB" "SMS"
"1" "Afganistán" "Zona 3" 2.94117647058824 2.94117647058824 0.0490196078431373 0.0490196078431373 8.40336134453782 0.00820640756302521 0.420168067226891
"2" "Albania" "Zona 2" 2.10084033613445 2.10084033613445 0.0350140056022409 0.0350140056022409 5.04201680672269 0.00492384453781513 0.336134453781513
"3" "Alemania" "Zona 1" 0.840336134453782 0.840336134453782 0.0140056022408964 0.0140056022408964 2.52100840336134 0.00246192226890756 0.252100840336134
"4" "Andorra" "Zona 2" 2.10084033613445 2.10084033613445 0.0350140056022409 0.0350140056022409 5.04201680672269 0.00492384453781513 0.336134453781513
"5" "Angola" "Zona 3" 2.94117647058824 2.94117647058824 0.0490196078431373 0.0490196078431373 8.40336134453782 0.00820640756302521 0.420168067226891
"6" "Anguilla" "Zona 2" 2.10084033613445 2.10084033613445 0.0350140056022409 0.0350140056022409 5.04201680672269 0.00492384453781513 0.336134453781513
"7" "Antártida" "Zona 3" 2.94117647058824 2.94117647058824 0.0490196078431373 0.0490196078431373 8.40336134453782 0.00820640756302521 0.420168067226891
"8" "Antigua y Barbuda" "Zona 2" 2.10084033613445 2.10084033613445 0.0350140056022409 0.0350140056022409 5.04201680672269 0.00492384453781513 0.336134453781513
"9" "Arabia Saudita" "Zona 3" 2.94117647058824 2.94117647058824 0.0490196078431373 0.0490196078431373 8.40336134453782 0.00820640756302521 0.420168067226891
"10" "Argelia" "Zona 3" 2.94117647058824 2.94117647058824 0.0490196078431373 0.0490196078431373 8.40336134453782 0.00820640756302521 0.420168067226891
"11" "Argentina" "Zona 5" 0.840336134453782 0.420168067226891 0.0140056022408964 0.00700280112044818 0 0 0.252100840336134
"12" "Armenia" "Zona 2" 2.10084033613445 2.10084033613445 0.0350140056022409 0.0350140056022409 5.04201680672269 0.00492384453781513 0.336134453781513
"13" "Aruba" "Zona 2" 2.10084033613445 2.10084033613445 0.0350140056022409 0.0350140056022409 5.04201680672269 0.00492384453781513 0.336134453781513
"14" "Ascensión (Isla)" "Zona 3" 2.94117647058824 2.94117647058824 0.0490196078431373 0.0490196078431373 8.40336134453782 0.00820640756302521 0.420168067226891
"15" "Australia" "Zona 2" 2.10084033613445 2.10084033613445 0.0350140056022409 0.0350140056022409 5.04201680672269 0.00492384453781513 0.336134453781513
"16" "Austria" "Zona 2" 2.10084033613445 2.10084033613445 0.0350140056022409 0.0350140056022409 5.04201680672269 0.00492384453781513 0.336134453781513
"17" "Azerbaiyán" "Zona 3" 2.94117647058824 2.94117647058824 0.0490196078431373 0.0490196078431373 8.40336134453782 0.00820640756302521 0.420168067226891
"18" "Bahamas (las)" "Zona 2" 2.10084033613445 2.10084033613445 0.0350140056022409 0.0350140056022409 5.04201680672269 0.00492384453781513 0.336134453781513
"19" "Bangladés" "Zona 2" 2.10084033613445 2.10084033613445 0.0350140056022409 0.0350140056022409 5.04201680672269 0.00492384453781513 0.336134453781513
"20" "Barbados" "Zona 2" 2.10084033613445 2.10084033613445 0.0350140056022409 0.0350140056022409 5.04201680672269 0.00492384453781513 0.336134453781513
"21" "Baréin" "Zona 3" 2.94117647058824 2.94117647058824 0.0490196078431373 0.0490196078431373 8.40336134453782 0.00820640756302521 0.420168067226891
"22" "Bélgica" "Zona 2" 2.10084033613445 2.10084033613445 0.0350140056022409 0.0350140056022409 5.04201680672269 0.00492384453781513 0.336134453781513
"23" "Belice" "Zona 3" 2.94117647058824 2.94117647058824 0.0490196078431373 0.0490196078431373 8.40336134453782 0.00820640756302521 0.420168067226891
"24" "Benín" "Zona 3" 2.94117647058824 2.94117647058824 0.0490196078431373 0.0490196078431373 8.40336134453782 0.00820640756302521 0.420168067226891
"25" "Bermudas" "Zona 3" 2.94117647058824 2.94117647058824 0.0490196078431373 0.0490196078431373 8.40336134453782 0.00820640756302521 0.420168067226891
